ID,Level,col3,col4,col5,col6,col7,col8
173,6097.0426,117,58,2,f,0,a3Piu
174,6282.353,117,58,3,f,0,a3Piu
175,6095.9951,119,59,1,e,0,a3Piu
176,6280.8545,119,59,2,e,0,a3Piu
177,6473.1461,119,59,3,e,0,a3Piu
178,6280.5689,121,60,1,f,0,a3Piu
179,6472.8215,121,60,2,f,0,a3Piu
180,6663.9058,121,60,3,f,0,a3Piu
181,6471.8096,123,61,1,e,0,a3Piu
182,6662.4355,123,61,2,e,0,a3Piu
183,6860.7698,123,61,3,e,0,a3Piu
184,6662.1791,125,62,1,f,0,a3Piu
185,6860.4732,125,62,2,f,0,a3Piu
186,7057.29,125,62,3,f,0,a3Piu
187,6859.4949,127,63,1,e,0,a3Piu
188,7055.8464,127,63,2,e,0,a3Piu
189,7260.1931,127,63,3,e,0,a3Piu
190,7055.6172,129,64,1,f,0,a3Piu
191,7259.9231,129,64,2,f,0,a3Piu
192,7462.4297,129,64,3,f,0,a3Piu
193,7258.9767,131,65,1,e,0,a3Piu
194,7461.0112,131,65,2,e,0,a3Piu
195,7671.339,131,65,3,e,0,a3Piu
196,7460.8074,133,66,1,f,0,a3Piu
197,7671.0941,133,66,2,f,0,a3Piu
198,7879.2464,133,66,3,f,0,a3Piu
199,7670.1781,135,67,1,e,0,a3Piu
200,7877.8518,135,67,2,e,0,a3Piu
201,8094.1281,135,67,3,e,0,a3Piu
202,7877.6716,137,68,1,f,0,a3Piu
203,8093.9071,137,68,2,f,0,a3Piu
204,8307.6596,137,68,3,f,0,a3Piu
205,8093.0201,139,69,1,e,0,a3Piu
206,8306.2875,139,69,2,e,0,a3Piu
207,8528.4788,139,69,3,e,0,a3Piu
208,8306.1295,141,70,1,f,0,a3Piu
209,8528.2805,141,70,2,f,0,a3Piu
210,8747.5862,141,70,3,f,0,a3Piu
211,8527.4212,143,71,1,e,0,a3Piu
212,8746.2356,143,71,2,e,0,a3Piu
213,8974.3071,143,71,3,e,0,a3Piu
214,8746.0984,145,72,1,f,0,a3Piu
215,8974.1304,145,72,2,f,0,a3Piu
216,9198.9411,145,72,3,f,0,a3Piu
217,8973.2976,147,73,1,e,0,a3Piu
218,9197.611,147,73,2,e,0,a3Piu
219,9431.5267,147,73,3,e,0,a3Piu
220,9197.4932,149,74,1,f,0,a3Piu
221,9431.3707,149,74,2,f,0,a3Piu
222,9661.6367,149,74,3,f,0,a3Piu
223,9430.5633,151,75,1,e,0,a3Piu
224,9660.3261,151,75,2,e,0,a3Piu
225,9900.0493,151,75,3,e,0,a3Piu
226,9660.2267,153,76,1,f,0,a3Piu
227,9899.9129,153,76,2,f,0,a3Piu
228,10135.5834,153,76,3,f,0,a3Piu
229,9899.1301,155,77,1,e,0,a3Piu
230,10134.2914,155,77,2,e,0,a3Piu
231,10379.784,155,77,3,e,0,a3Piu
232,10134.2092,157,78,1,f,0,a3Piu
233,10379.6665,157,78,2,f,0,a3Piu
234,10620.6891,157,78,3,f,0,a3Piu
235,10378.9072,159,79,1,e,0,a3Piu
236,10619.4149,159,79,2,e,0,a3Piu
237,10870.638,159,79,3,e,0,a3Piu
238,10619.3489,161,80,1,f,0,a3Piu
239,10870.5386,161,80,2,f,0,a3Piu
240,11116.8595,161,80,3,f,0,a3Piu
241,10869.802,163,81,1,e,0,a3Piu
242,11115.6024,163,81,2,e,0,a3Piu
243,11372.516,163,81,3,e,0,a3Piu
244,11115.5517,165,82,1,f,0,a3Piu
245,11372.4338,165,82,2,f,0,a3Piu
246,11623.9983,165,82,3,f,0,a3Piu
247,11371.7192,167,83,1,e,0,a3Piu
248,11622.7576,167,83,2,e,0,a3Piu
249,11885.3206,167,83,3,e,0,a3Piu
250,11622.7213,169,84,1,f,0,a3Piu
251,11885.255,169,84,2,f,0,a3Piu
252,12142.0068,169,84,3,f,0,a3Piu
253,11884.5616,171,85,1,e,0,a3Piu
254,12140.7817,171,85,2,e,0,a3Piu
255,12408.9521,171,85,3,e,0,a3Piu
256,12140.759,173,86,1,f,0,a3Piu
257,12408.9025,173,86,2,f,0,a3Piu
258,12670.7839,173,86,3,f,0,a3Piu
259,12408.2296,175,87,1,e,0,a3Piu
260,12669.574,175,87,2,e,0,a3Piu
261,12943.3088,175,87,3,e,0,a3Piu
262,12669.5641,177,88,1,f,0,a3Piu
263,12943.2745,177,88,2,f,0,a3Piu
264,13210.2268,177,88,3,f,0,a3Piu
265,12942.6216,179,89,1,e,0,a3Piu
266,13209.0315,179,89,2,e,0,a3Piu
267,13488.2866,179,89,3,e,0,a3Piu
268,13209.0336,181,90,1,f,0,a3Piu
269,13488.2671,181,90,2,f,0,a3Piu
270,13760.2301,181,90,3,f,0,a3Piu
271,13487.6336,183,91,1,e,0,a3Piu
272,13759.0488,183,91,2,e,0,a3Piu
273,14043.7794,183,91,3,e,0,a3Piu
274,13759.0623,185,92,1,f,0,a3Piu
275,14043.7741,185,92,2,f,0,a3Piu
276,14320.6864,185,92,3,f,0,a3Piu
277,14043.1594,187,93,1,e,0,a3Piu
278,14319.5186,187,93,2,e,0,a3Piu
279,14609.6789,187,93,3,e,0,a3Piu
280,14319.543,189,94,1,f,0,a3Piu
281,14609.6872,189,94,2,f,0,a3Piu
282,14891.4861,189,94,3,f,0,a3Piu
283,14609.0909,191,95,1,e,0,a3Piu
