ID,Level,,col3
587,15839.515,*,14
588,15829.637,*,15
589,10396.175,*,11
590,10386.296,*,10
591,19250.292,*,18
592,19240.41,*,18
593,15600.149,*,15
594,15590.258,*,15
595,13119.097,*,17
596,13109.202,*,17
597,11851.465,*,11
598,11841.567,*,12
599,13668.432,*,2
600,13658.532,*,3
601,14226.962,*,14
602,14217.039,*,15
603,13317.375,*,11
604,13307.45,*,10
605,18078.631,*,19
606,18068.705,*,18
607,15925.59,*,16
608,15915.641,*,16
609,17891.27,*,15
610,17881.317,*,15
611,13828.509,*,3
612,13818.547,*,3
613,21253.298,*,20
614,21243.331,*,20
615,15149.927,*,17
616,15139.958,*,17
617,11818.512,*,4
618,11808.543,*,5
619,14559.424,*,7
620,14549.453,*,8
621,17218.148,*,17
622,17208.176,*,17
623,20705.059,*,20
624,20695.085,*,19
625,16242.241,*,14
626,16232.255,*,13
627,19523.804,*,20
628,19513.814,*,20
629,14604.736,*,4
630,14594.728,*,4
631,19400.211,*,20
632,19390.196,*,19
633,15159.943,*,16
634,13622.924,*,13
635,13612.905,*,12
636,9158.001,6,1
637,9147.946,6,1
638,17178.894,*,15
639,17168.835,*,15
640,18642.125,*,17
641,18632.06,*,18
642,11017.476,*,9
643,11007.409,*,8
644,13099.475,*,19
645,13089.398,*,18
646,20780.592,*,20
647,20770.509,*,19
648,10472.195,*,3
649,10462.111,*,3
650,14453.859,*,8
651,14443.775,*,8
652,16779.412,*,15
653,14235.763,*,6
654,14225.65,*,6
655,14824.715,*,6
656,14814.572,*,6
657,16768.79,*,13
658,12371.443,*,15
659,12361.298,*,15
660,19978.603,*,19
661,19968.456,*,19
662,13838.225,*,3
663,13828.075,*,3
664,16391.492,*,17
665,16381.327,*,16
666,13954.564,*,16
667,13944.388,*,15
668,12333.327,*,6
669,12323.147,*,6
670,15130.042,*,1
671,15119.862,*,2
672,14064.172,*,11
673,14053.98,*,10
674,13359.867,*,14
675,13349.673,*,13
676,18614.505,*,18
677,18604.295,*,18
678,17783.551,*,19
679,17773.339,*,18
680,16893.538,*,14
681,16883.325,*,15
682,14934.244,*,1
683,14924.025,*,2
684,15482.271,*,16
685,15472.043,*,15
686,16349.114,*,17
687,16338.872,*,17
688,20917.844,*,20
689,20907.59,*,20
690,18729.336,*,19
691,18719.073,*,20
692,14228.483,*,7
693,14218.22,*,8
694,13360.432,*,17
695,13350.166,*,17
696,14899.258,*,6
697,14888.99,*,7
698,17948.683,*,19
699,11511.375,*,16
700,11501.103,*,17
701,20235.876,*,20
702,20225.603,*,20
703,12950.124,*,8
704,12939.848,*,9
705,15296.792,*,16
706,15286.499,*,15
707,11414.694,*,9
708,11404.389,*,10
709,20195.666,*,20
710,20185.357,*,19
711,9829.208,*,9
712,9818.898,*,9
713,14774.025,*,8
714,14763.714,*,7
715,12286.393,*,14
716,12276.078,*,13
717,16437.244,*,14
718,16426.927,*,13
719,12384.874,*,9
720,12374.553,*,8
721,13304.032,*,8
722,13293.704,*,7
723,19970.601,*,19
724,19960.266,*,19
725,14024.379,*,13
726,19895.69,*,18
727,15195.78,*,15
728,11416.725,*,11
729,16123.175,*,12
730,16112.777,*,12
731,16064.563,*,18
732,16054.165,*,19
733,14477.469,*,5
734,14467.069,*,6
735,13316.506,*,15
736,14780.335,*,6
737,18754.902,*,15
738,18744.498,*,16
739,14667.618,*,16
740,14657.208,*,15
741,14780.153,*,7
742,19005.071,*,19
743,16405.755,*,17
744,16395.314,*,17
745,17520.666,*,19
746,17510.215,*,18
747,18568.478,*,19
748,15258.642,*,18
749,15248.174,*,17
750,16891.167,*,18
751,16880.689,*,18
752,17923.928,*,19
753,17913.446,*,20
754,14378.375,*,5
755,14367.886,*,6
756,16950.898,*,15
757,16940.399,*,15
758,16653.995,*,13
759,16643.472,*,12
760,19353.953,*,18
761,19343.427,*,19
762,15683.911,*,11
763,15673.372,*,11
764,17695.974,*,17
765,17685.424,*,17
766,20557.901,*,20
767,20547.35,*,19
768,14384.473,*,7
769,14908.872,*,12
770,14898.302,*,13
771,18908.669,*,18
772,18898.075,*,18
773,15929.396,*,13
774,15918.801,*,13
775,18516.179,*,19
776,18505.564,*,18
777,11922.704,*,6
778,16997.055,*,17
779,16986.411,*,17
780,12634.961,*,11
781,12624.311,*,10
782,17438.319,*,17
783,10276.727,*,7
784,10266.071,*,8
785,18728.575,*,18
786,9810.576,*,11
787,9799.911,*,12
788,20076.894,*,20
789,20066.219,*,19
790,19227.086,*,20
791,19216.398,*,20
792,19739.968,*,19
793,19729.277,*,18
794,19023.427,*,17
795,19012.722,*,18
796,16654.604,*,14
797,16643.899,*,13
798,14516.902,*,4
799,14506.196,*,4
800,19584.213,*,20
801,19573.495,*,19
802,12016.05,*,10
803,12005.329,*,9
804,18603.784,*,19
805,13427.782,*,10
806,13417.056,*,10
807,20193.105,*,19
808,20182.375,*,19
809,19128.88,*,19
810,6248.045,60,7
811,6237.295,52,6
812,18124.68,*,15
813,18113.924,*,15
814,7991.583,*,9
815,7980.815,*,8
816,13298.058,*,14
817,13287.286,*,14
818,15543.7,*,14
819,18012.732,*,15
820,18001.952,*,14
821,18449.776,*,17
822,18438.993,*,18
823,13767.26,*,19
824,13756.466,*,18
825,16175.164,*,14
826,16164.357,*,13
827,15307.603,*,16
828,15426.515,*,17
829,11249.382,*,11
830,11238.569,*,10
831,20046.16,*,19
832,20035.344,*,20
833,14763.774,*,13
834,14752.933,*,14
835,14036.983,*,17
836,14026.141,*,17
837,21050.362,*,20
838,15002.658,*,7
839,14991.806,*,6
840,17303.327,*,16
841,17292.457,*,17
842,18717.697,*,19
843,16789.415,*,13
844,16778.535,*,13
845,19665.909,*,20
846,19655.016,*,20
847,14267.212,*,15
848,14256.313,*,16
849,18186.021,*,18
850,18175.12,*,19
851,16620.793,*,13
852,16609.892,*,13
853,15933.909,*,18
854,11438.023,*,10
855,18494.639,*,18
856,13480.927,*,9
857,13469.995,*,9
858,12993.002,*,19
859,12982.063,*,18
860,14443.934,*,3
861,14432.995,*,3
862,11470.068,*,8
863,11459.116,*,8
864,17290.802,*,16
865,17279.845,*,17
866,17772.591,*,19
867,16198.582,*,20
868,16187.619,*,19
869,15165.283,*,7
870,15154.32,*,8
871,17857.786,*,15
872,17846.819,*,15
873,19385.486,*,18
874,17084.435,*,14
875,17073.436,*,14
876,18506.276,*,16
877,18495.254,*,17
878,13942.882,*,6
879,13931.849,*,6
880,16945.012,*,14
881,16933.977,*,15
882,14829.586,*,10
883,14818.539,*,9
884,16125.394,*,17
885,16114.344,*,17
886,19654.856,*,19
887,16763.156,*,13
888,16752.1,*,12
889,18924.747,*,18
890,18913.689,*,18
891,14727.447,*,13
892,14716.382,*,13
893,12760.694,*,8
894,12749.628,*,7
895,14242.379,*,14
896,14231.307,*,13
897,16780.438,*,17
898,16769.365,*,17
899,13618.607,*,7
900,13607.52,*,7
901,15013.746,*,8
902,15562.019,*,15
903,15550.92,*,15
904,17053.568,*,16
905,17042.443,*,17
906,14533.163,*,13
907,14522.037,*,13
908,14934.195,*,2
909,14923.066,*,1
910,13334.934,*,12
911,13323.804,*,12
912,11894.462,*,2
913,11883.321,*,2
914,12104.204,*,11
915,12093.058,*,11
916,14767.516,*,8
917,15681.494,*,15
918,15670.336,*,14
919,13858.067,*,4
920,13846.907,*,5
921,13366.788,*,6
922,13355.614,*,7
923,12773.193,*,8
924,12762.009,*,7
925,10960.93,*,13
926,10949.741,*,14
927,16048.806,*,13
