id,energy,na,na,lifetime,na,na,na,na
161,5.38E+03,109,54,-1.00E+00,2,f,0,a3Piu
162,5.56E+03,109,54,-1.00E+00,3,f,0,a3Piu
163,5.38E+03,111,55,-1.00E+00,1,e,0,a3Piu
164,5.55E+03,111,55,-1.00E+00,2,e,0,a3Piu
165,5.73E+03,111,55,-1.00E+00,3,e,0,a3Piu
166,5.55E+03,113,56,-1.00E+00,1,f,0,a3Piu
167,5.73E+03,113,56,-1.00E+00,2,f,0,a3Piu
168,5.91E+03,113,56,-1.00E+00,3,f,0,a3Piu
169,5.73E+03,115,57,-1.00E+00,1,e,0,a3Piu
170,5.91E+03,115,57,-1.00E+00,2,e,0,a3Piu
171,6.10E+03,115,57,-1.00E+00,3,e,0,a3Piu
172,5.91E+03,117,58,-1.00E+00,1,f,0,a3Piu
173,6.10E+03,117,58,-1.00E+00,2,f,0,a3Piu
174,6.28E+03,117,58,-1.00E+00,3,f,0,a3Piu
175,6.10E+03,119,59,-1.00E+00,1,e,0,a3Piu
176,6.28E+03,119,59,-1.00E+00,2,e,0,a3Piu
177,6.47E+03,119,59,-1.00E+00,3,e,0,a3Piu
178,6.28E+03,121,60,-1.00E+00,1,f,0,a3Piu
179,6.47E+03,121,60,-1.00E+00,2,f,0,a3Piu
180,6.66E+03,121,60,-1.00E+00,3,f,0,a3Piu
181,6.47E+03,123,61,-1.00E+00,1,e,0,a3Piu
182,6.66E+03,123,61,-1.00E+00,2,e,0,a3Piu
183,6.86E+03,123,61,-1.00E+00,3,e,0,a3Piu
184,6.66E+03,125,62,-1.00E+00,1,f,0,a3Piu
185,6.86E+03,125,62,-1.00E+00,2,f,0,a3Piu
186,7.06E+03,125,62,-1.00E+00,3,f,0,a3Piu
187,6.86E+03,127,63,-1.00E+00,1,e,0,a3Piu
188,7.06E+03,127,63,-1.00E+00,2,e,0,a3Piu
189,7.26E+03,127,63,-1.00E+00,3,e,0,a3Piu
190,7.06E+03,129,64,-1.00E+00,1,f,0,a3Piu
191,7.26E+03,129,64,-1.00E+00,2,f,0,a3Piu
192,7.46E+03,129,64,-1.00E+00,3,f,0,a3Piu
193,7.26E+03,131,65,-1.00E+00,1,e,0,a3Piu
194,7.46E+03,131,65,-1.00E+00,2,e,0,a3Piu
195,7.67E+03,131,65,-1.00E+00,3,e,0,a3Piu
196,7.46E+03,133,66,-1.00E+00,1,f,0,a3Piu
197,7.67E+03,133,66,-1.00E+00,2,f,0,a3Piu
198,7.88E+03,133,66,-1.00E+00,3,f,0,a3Piu
199,7.67E+03,135,67,-1.00E+00,1,e,0,a3Piu
200,7.88E+03,135,67,-1.00E+00,2,e,0,a3Piu
201,8.09E+03,135,67,-1.00E+00,3,e,0,a3Piu
202,7.88E+03,137,68,-1.00E+00,1,f,0,a3Piu
203,8.09E+03,137,68,-1.00E+00,2,f,0,a3Piu
204,8.31E+03,137,68,-1.00E+00,3,f,0,a3Piu
205,8.09E+03,139,69,-1.00E+00,1,e,0,a3Piu
206,8.31E+03,139,69,-1.00E+00,2,e,0,a3Piu
207,8.53E+03,139,69,-1.00E+00,3,e,0,a3Piu
208,8.31E+03,141,70,-1.00E+00,1,f,0,a3Piu
209,8.53E+03,141,70,-1.00E+00,2,f,0,a3Piu
210,8.75E+03,141,70,-1.00E+00,3,f,0,a3Piu
211,8.53E+03,143,71,-1.00E+00,1,e,0,a3Piu
212,8.75E+03,143,71,-1.00E+00,2,e,0,a3Piu
213,8.97E+03,143,71,-1.00E+00,3,e,0,a3Piu
214,8.75E+03,145,72,-1.00E+00,1,f,0,a3Piu
215,8.97E+03,145,72,-1.00E+00,2,f,0,a3Piu
216,9.20E+03,145,72,-1.00E+00,3,f,0,a3Piu
217,8.97E+03,147,73,-1.00E+00,1,e,0,a3Piu
218,9.20E+03,147,73,-1.00E+00,2,e,0,a3Piu
219,9.43E+03,147,73,-1.00E+00,3,e,0,a3Piu
220,9.20E+03,149,74,-1.00E+00,1,f,0,a3Piu
221,9.43E+03,149,74,-1.00E+00,2,f,0,a3Piu
222,9.66E+03,149,74,-1.00E+00,3,f,0,a3Piu
223,9.43E+03,151,75,-1.00E+00,1,e,0,a3Piu
224,9.66E+03,151,75,-1.00E+00,2,e,0,a3Piu
225,9.90E+03,151,75,-1.00E+00,3,e,0,a3Piu
226,9.66E+03,153,76,-1.00E+00,1,f,0,a3Piu
227,9.90E+03,153,76,-1.00E+00,2,f,0,a3Piu
228,1.01E+04,153,76,-1.00E+00,3,f,0,a3Piu
229,9.90E+03,155,77,-1.00E+00,1,e,0,a3Piu
230,1.01E+04,155,77,-1.00E+00,2,e,0,a3Piu
231,1.04E+04,155,77,-1.00E+00,3,e,0,a3Piu
232,1.01E+04,157,78,-1.00E+00,1,f,0,a3Piu
233,1.04E+04,157,78,-1.00E+00,2,f,0,a3Piu
234,1.06E+04,157,78,-1.00E+00,3,f,0,a3Piu
235,1.04E+04,159,79,-1.00E+00,1,e,0,a3Piu
236,1.06E+04,159,79,-1.00E+00,2,e,0,a3Piu
237,1.09E+04,159,79,-1.00E+00,3,e,0,a3Piu
238,1.06E+04,161,80,-1.00E+00,1,f,0,a3Piu
239,1.09E+04,161,80,-1.00E+00,2,f,0,a3Piu
240,1.11E+04,161,80,-1.00E+00,3,f,0,a3Piu
241,1.09E+04,163,81,-1.00E+00,1,e,0,a3Piu
242,1.11E+04,163,81,-1.00E+00,2,e,0,a3Piu
243,1.14E+04,163,81,-1.00E+00,3,e,0,a3Piu
244,1.11E+04,165,82,-1.00E+00,1,f,0,a3Piu
245,1.14E+04,165,82,-1.00E+00,2,f,0,a3Piu
246,1.16E+04,165,82,-1.00E+00,3,f,0,a3Piu
247,1.14E+04,167,83,-1.00E+00,1,e,0,a3Piu
248,1.16E+04,167,83,-1.00E+00,2,e,0,a3Piu
249,1.19E+04,167,83,-1.00E+00,3,e,0,a3Piu
250,1.16E+04,169,84,-1.00E+00,1,f,0,a3Piu
251,1.19E+04,169,84,-1.00E+00,2,f,0,a3Piu
252,1.21E+04,169,84,-1.00E+00,3,f,0,a3Piu
253,1.19E+04,171,85,-1.00E+00,1,e,0,a3Piu
254,1.21E+04,171,85,-1.00E+00,2,e,0,a3Piu
255,1.24E+04,171,85,-1.00E+00,3,e,0,a3Piu
256,1.21E+04,173,86,-1.00E+00,1,f,0,a3Piu
257,1.24E+04,173,86,-1.00E+00,2,f,0,a3Piu
258,1.27E+04,173,86,-1.00E+00,3,f,0,a3Piu
259,1.24E+04,175,87,-1.00E+00,1,e,0,a3Piu
260,1.27E+04,175,87,-1.00E+00,2,e,0,a3Piu
261,1.29E+04,175,87,-1.00E+00,3,e,0,a3Piu
262,1.27E+04,177,88,-1.00E+00,1,f,0,a3Piu
263,1.29E+04,177,88,-1.00E+00,2,f,0,a3Piu
